\begin{tabular}{lrrrr}
\toprule
                                index &  precision &   recall &   fscore &  support \\
\midrule
                  Gaulle , Charles de &   0.875000 & 0.076712 & 0.141058 &      365 \\
                   Pineau , Christian &   0.500000 & 0.054054 & 0.097561 &       37 \\
                         Frey , Roger &   0.416667 & 0.161290 & 0.232558 &       31 \\
                     Herzog , Maurice &   1.000000 & 0.093750 & 0.171429 &       32 \\
                     Lacoste , Robert &   1.000000 & 0.200000 & 0.333333 &       20 \\
          Lamine , Pacha Sidi Mohamed &   1.000000 & 0.000000 & 0.000000 &       16 \\
                      Ramadier , Paul &   1.000000 & 0.153846 & 0.266667 &       26 \\
                   Vichinsky , Andrei &   0.000000 & 0.000000 & 0.000000 &       16 \\
                 Béatrix des Pays Bas &   1.000000 & 0.000000 & 0.000000 &       14 \\
                  Chevalier , Maurice &   0.857143 & 0.250000 & 0.387097 &       24 \\
                            George VI &   1.000000 & 0.071429 & 0.133333 &       42 \\
                     Gromyko , Andreï &   0.750000 & 0.090909 & 0.162162 &       33 \\
                        Marie , André &   1.000000 & 0.000000 & 0.000000 &       18 \\
                       Perillat , Guy &   0.500000 & 0.090909 & 0.153846 &       22 \\
                     Queuille , Henri &   1.000000 & 0.000000 & 0.000000 &       31 \\
                       Coppi , Fausto &   0.750000 & 0.115385 & 0.200000 &       26 \\
                      Coty , Germaine &   0.444444 & 0.235294 & 0.307692 &       17 \\
                   Le Troquer , André &   1.000000 & 0.000000 & 0.000000 &       30 \\
                       Mimoun , Alain &   1.000000 & 0.166667 & 0.285714 &       18 \\
                   Anquetil , Jacques &   0.600000 & 0.150000 & 0.240000 &       20 \\
                         Clair , René &   0.666667 & 0.142857 & 0.235294 &       14 \\
                    Defferre , Gaston &   1.000000 & 0.000000 & 0.000000 &       17 \\
                 Goitschel , Marielle &   0.555556 & 0.384615 & 0.454545 &       13 \\
                  Killy , Jean Claude &   0.750000 & 0.230769 & 0.352941 &       13 \\
                      Mao , Tsé Toung &   0.368421 & 0.388889 & 0.378378 &       18 \\
                        Marais , Jean &   1.000000 & 0.450000 & 0.620690 &       20 \\
                         Mollet , Guy &   0.500000 & 0.040816 & 0.075472 &       49 \\
                Molotov , Viatcheslav &   0.666667 & 0.058824 & 0.108108 &       34 \\
                       Morice , André &   0.000000 & 0.000000 & 0.000000 &       16 \\
                 Nasser , Gamal Abdel &   0.800000 & 0.181818 & 0.296296 &       22 \\
                  Auriol , Jacqueline &   0.666667 & 0.117647 & 0.200000 &       17 \\
              Jeanneney , Jean Marcel &   1.000000 & 0.066667 & 0.125000 &       15 \\
                       Jouhaux , Léon &   0.250000 & 0.058824 & 0.095238 &       17 \\
                      Laniel , Joseph &   1.000000 & 0.076923 & 0.142857 &       13 \\
                 Mac Arthur , Douglas &   1.000000 & 0.000000 & 0.000000 &       15 \\
                  Mac Millan , Harold &   0.500000 & 0.142857 & 0.222222 &       21 \\
                         Mayer , René &   0.400000 & 0.100000 & 0.160000 &       20 \\
               Mendès France , Pierre &   1.000000 & 0.074074 & 0.137931 &       27 \\
                    Pflimlin , Pierre &   0.333333 & 0.050000 & 0.086957 &       20 \\
                              Pie XII &   1.000000 & 0.111111 & 0.200000 &       18 \\
                   Franco , Francisco &   1.000000 & 0.000000 & 0.000000 &       14 \\
                           Jean XXIII &   1.000000 & 0.071429 & 0.133333 &       14 \\
Malenkov , Gueorgui Maksimilianovitch &   1.000000 & 0.000000 & 0.000000 &       12 \\
            Marshall , George Catlett &   0.714286 & 0.333333 & 0.454545 &       15 \\
                         Robic , Jean &   1.000000 & 0.000000 & 0.000000 &       27 \\
                      Carol , Martine &   0.666667 & 0.266667 & 0.380952 &       15 \\
                      Cerdan , Marcel &   0.714286 & 0.227273 & 0.344828 &       22 \\
                  De Gasperi , Alcide &   1.000000 & 0.000000 & 0.000000 &       11 \\
                     Duclos , Jacques &   1.000000 & 0.000000 & 0.000000 &       24 \\
              Eisenhower , Mamie Doud &   1.000000 & 0.214286 & 0.352941 &       14 \\
                            Fernandel &   1.000000 & 0.555556 & 0.714286 &        9 \\
              Frederik IX de Danemark &   1.000000 & 0.000000 & 0.000000 &       14 \\
                  Kossyguine , Alexis &   1.000000 & 0.250000 & 0.400000 &       16 \\
    Leclerc de Hauteclocque , Thérèse &   1.000000 & 0.000000 & 0.000000 &       13 \\
                      Nixon , Richard &   1.000000 & 0.473684 & 0.642857 &       19 \\
              Reza Pahlavi , Mohammad &   1.000000 & 0.000000 & 0.000000 &       17 \\
              Senghor , Léopold Sédar &   0.333333 & 0.307692 & 0.320000 &       13 \\
                    Ben Bella , Ahmed &   1.000000 & 0.000000 & 0.000000 &       13 \\
                      Erhard , Ludwig &   1.000000 & 0.058824 & 0.111111 &       17 \\
   Leclerc de Hauteclocque , Philippe &   0.833333 & 0.277778 & 0.416667 &       18 \\
                   Peyrefitte , Alain &   0.571429 & 0.173913 & 0.266667 &       23 \\
                       Reynaud , Paul &   1.000000 & 0.095238 & 0.173913 &       21 \\
                     Sarraut , Albert &   1.000000 & 0.000000 & 0.000000 &       10 \\
                     Frachon , Benoît &   1.000000 & 0.000000 & 0.000000 &       11 \\
                     Gaillard , Félix &   0.571429 & 0.363636 & 0.444444 &       11 \\
                   Hailé Sélassié Ier &   1.000000 & 0.062500 & 0.117647 &       16 \\
                            Hassan II &   0.666667 & 0.181818 & 0.285714 &       11 \\
            Kennedy , John Fitzgerald &   0.888889 & 0.275862 & 0.421053 &       29 \\
                       Kopa , Raymond &   1.000000 & 0.032258 & 0.062500 &       31 \\
                      Maurois , André &   1.000000 & 0.000000 & 0.000000 &       12 \\
                      Papon , Maurice &   1.000000 & 0.000000 & 0.000000 &        4 \\
                              Paul VI &   1.000000 & 0.000000 & 0.000000 &       17 \\
                  Soustelle , Jacques &   0.333333 & 0.043478 & 0.076923 &       23 \\
             Attlee , Clément Richard &   1.000000 & 0.266667 & 0.421053 &       15 \\
                       Brandt , Willy &   0.666667 & 0.142857 & 0.235294 &       14 \\
                    Duhamel , Georges &   1.000000 & 0.000000 & 0.000000 &        6 \\
                Mitterrand , François &   1.000000 & 0.000000 & 0.000000 &       19 \\
                     Morgan , Michèle &   0.625000 & 0.263158 & 0.370370 &       19 \\
                      Wilson , Harold &   1.000000 & 0.230769 & 0.375000 &       13 \\
                          Blum , Léon &   0.166667 & 0.066667 & 0.095238 &       15 \\
                     Brejnev , Leonid &   1.000000 & 0.230769 & 0.375000 &       13 \\
                      Christian Jaque &   0.500000 & 0.285714 & 0.363636 &        7 \\
                  Fouchet , Christian &   1.000000 & 0.071429 & 0.133333 &       14 \\
                   Genevoix , Maurice &   1.000000 & 0.000000 & 0.000000 &        8 \\
                        Salan , Raoul &   1.000000 & 0.307692 & 0.470588 &       13 \\
                   Schumann , Maurice &   1.000000 & 0.090909 & 0.166667 &       11 \\
                 Bordeneuve , Jacques &   1.000000 & 0.000000 & 0.000000 &       10 \\
                        Lejeune , Max &   1.000000 & 0.000000 & 0.000000 &       10 \\
                    Petsche , Maurice &   1.000000 & 0.125000 & 0.222222 &        8 \\
                     Thorez , Maurice &   0.125000 & 0.037037 & 0.057143 &       27 \\
                        Cornu , André &   1.000000 & 0.000000 & 0.000000 &        8 \\
          Giscard d' Estaing , Valéry &   1.000000 & 0.000000 & 0.000000 &       12 \\
                  Marcellin , Raymond &   0.333333 & 0.083333 & 0.133333 &       12 \\
                        Monnet , Jean &   1.000000 & 0.000000 & 0.000000 &        7 \\
                    Pétain , Philippe &   0.000000 & 0.000000 & 0.000000 &        6 \\
                      Pisani , Edgard &   1.000000 & 0.000000 & 0.000000 &        9 \\
        Thorez Vermeersch , Jeannette &   0.500000 & 0.200000 & 0.285714 &        5 \\
                     Tillon , Charles &   1.000000 & 0.055556 & 0.105263 &       18 \\
                      Gazier , Albert &   1.000000 & 0.000000 & 0.000000 &        9 \\
                        Gouin , Félix &   0.500000 & 0.090909 & 0.153846 &       11 \\
                     Holleaux , André &   0.000000 & 0.000000 & 0.000000 &        6 \\
                      Massu , Jacques &   1.000000 & 0.250000 & 0.400000 &       12 \\
               Teitgen , Pierre Henri &   1.000000 & 0.000000 & 0.000000 &       11 \\
                   Terrenoire , Louis &   0.428571 & 0.428571 & 0.428571 &        7 \\
                      Billères , René &   1.000000 & 0.000000 & 0.000000 &        4 \\
                     Bollaert , Emile &   1.000000 & 0.000000 & 0.000000 &        1 \\
                  Missoffe , François &   1.000000 & 0.166667 & 0.285714 &        6 \\
                   Parodi , Alexandre &   1.000000 & 0.000000 & 0.000000 &        5 \\
                     Prigent , Robert &   1.000000 & 0.000000 & 0.000000 &        3 \\
          Margaret Rose d' Angleterre &   1.000000 & 0.034483 & 0.066667 &       58 \\
                Bernhard des Pays Bas &   1.000000 & 0.031250 & 0.060606 &       32 \\
                      Léonard , Roger &   1.000000 & 0.000000 & 0.000000 &       19 \\
                    Perillier , Louis &   1.000000 & 0.000000 & 0.000000 &        6 \\
                 Guillaume , Augustin &   1.000000 & 0.000000 & 0.000000 &       20 \\
                 Juliana des Pays Bas &   1.000000 & 0.066667 & 0.125000 &       30 \\
                      Humez , Charles &   1.000000 & 0.166667 & 0.285714 &       24 \\
                      Petiot , Lucien &   1.000000 & 0.000000 & 0.000000 &       34 \\
                    Becognee , Claude &   1.000000 & 0.000000 & 0.000000 &       26 \\
                    Labaume , Bernard &   1.000000 & 0.000000 & 0.000000 &       28 \\
             Montgomery , Bernard Law &   0.888889 & 0.250000 & 0.390244 &       32 \\
                   Chataigneau , Yves &   1.000000 & 0.000000 & 0.000000 &        9 \\
                      Flaud , Jacques &   1.000000 & 0.000000 & 0.000000 &       24 \\
                          Mons , Jean &   0.000000 & 0.000000 & 0.000000 &        1 \\
                         Peron , Juan &   1.000000 & 0.000000 & 0.000000 &       17 \\
                    Darrigade , André &   0.000000 & 0.000000 & 0.000000 &       20 \\
              Duval , Raymond Francis &   1.000000 & 0.000000 & 0.000000 &        2 \\
                   Gauthier , Bernard &   1.000000 & 0.000000 & 0.000000 &       20 \\
                   Anne d' Angleterre &   1.000000 & 0.071429 & 0.133333 &       14 \\
                       Bonnet , Henri &   1.000000 & 0.000000 & 0.000000 &       20 \\
                      Grace de Monaco &   0.666667 & 0.095238 & 0.166667 &       21 \\
                    Paul Ier de Grèce &   0.012987 & 0.125000 & 0.023529 &       16 \\
                   Schneiter , Pierre &   1.000000 & 0.000000 & 0.000000 &       14 \\
                  Triboulet , Raymond &   1.000000 & 0.000000 & 0.000000 &       17 \\
                       Bartali , Gino &   0.333333 & 0.136364 & 0.193548 &       22 \\
                    Caron , Christine &   1.000000 & 0.000000 & 0.000000 &       17 \\
                De Gloucester , Henry &   1.000000 & 0.000000 & 0.000000 &       15 \\
                    Delouvrier , Paul &   1.000000 & 0.153846 & 0.266667 &       13 \\
                   Frederika de Grèce &   1.000000 & 0.117647 & 0.210526 &       17 \\
                    Letourneau , Jean &   1.000000 & 0.076923 & 0.142857 &       13 \\
                       Schaer , Fritz &   1.000000 & 0.000000 & 0.000000 &       13 \\
                      Berthoin , Jean &   1.000000 & 0.000000 & 0.000000 &       16 \\
                      Bozon , Charles &   1.000000 & 0.000000 & 0.000000 &       13 \\
              François Poncet , André &   1.000000 & 0.000000 & 0.000000 &       10 \\
                       Ganeval , Jean &   1.000000 & 0.000000 & 0.000000 &       16 \\
                  Geminiani , Raphaël &   1.000000 & 0.076923 & 0.142857 &       26 \\
                   Irène des Pays Bas &   1.000000 & 0.125000 & 0.222222 &        8 \\
                  Mountbatten , Louis &   1.000000 & 0.000000 & 0.000000 &       11 \\
                     Vanier , Georges &   1.000000 & 0.083333 & 0.153846 &       12 \\
                      Achard , Marcel &   1.000000 & 0.055556 & 0.105263 &       18 \\
                              Bao Dai &   0.500000 & 0.250000 & 0.333333 &        4 \\
                       Buron , Robert &   1.000000 & 0.040000 & 0.076923 &       25 \\
                  Caffery , Jefferson &   0.750000 & 0.230769 & 0.352941 &       13 \\
                        Chou , En Lai &   0.500000 & 0.307692 & 0.380952 &       13 \\
             Fourre Cormeray , Michel &   1.000000 & 0.105263 & 0.190476 &       19 \\
                        Koblet , Hugo &   0.500000 & 0.047619 & 0.086957 &       21 \\
                   Mikoyan , Anastase &   0.428571 & 0.214286 & 0.285714 &       14 \\
           Roncalli , Angelo Giuseppe &   0.000000 & 0.000000 & 0.000000 &        7 \\
                    Trichet , Adolphe &   1.000000 & 0.000000 & 0.000000 &       12 \\
                    Ben Ammar , Tahar &   1.000000 & 0.181818 & 0.307692 &       11 \\
                   Delecour , Jocelyn &   1.000000 & 0.076923 & 0.142857 &       13 \\
                 El Mabrouk , Patrick &   1.000000 & 0.250000 & 0.400000 &        8 \\
                     Oreiller , Henri &   0.333333 & 0.071429 & 0.117647 &       14 \\
                  Sologne , Madeleine &   0.500000 & 0.166667 & 0.250000 &        6 \\
              Van Steenbergen , Henri &   1.000000 & 0.000000 & 0.000000 &       18 \\
                     tot (excluded 0) &   0.792522 & 0.082377 & 0.130208 &     5420 \\
\bottomrule
\end{tabular}
