media,url,segment,start,end,person
http://www.ina.fr/media/AFE86004079,/Media/AF/AFE86004079.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004079_6,22,24,"Mitterrand, François"
http://www.ina.fr/media/AFE86004079,/Media/AF/AFE86004079.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004079_48,106,107,"Mitterrand, François"
http://www.ina.fr/media/AFE86004079,/Media/AF/AFE86004079.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004079_47,104,106,"Mitterrand, François"
http://www.ina.fr/media/AFE86003556,/Media/AF/AFE86003556.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003556_56,137,140,"Mitterrand, François"
http://www.ina.fr/media/AFE86004079,/Media/AF/AFE86004079.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004079_27,68,70,"Mendès France, Pierre"
http://www.ina.fr/media/AFE86004014,/Media/AF/AFE86004014.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004014_220,433,434,"Mitterrand, François"
http://www.ina.fr/media/AFE86003513,/Media/AF/AFE86003513.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003513_192,371,374,"Mitterrand, François"
http://www.ina.fr/media/AFE86003419,/Media/AF/AFE86003419.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003419_94,240,242,"Mitterrand, François"
http://www.ina.fr/media/AFE86004527,/Media/AF/AFE86004527.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004527_68,101,104,"Mitterrand, François"
http://www.ina.fr/media/AFE86003438,/Media/AF/AFE86003438.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003438_48,58,60,"Mendès France, Pierre"
http://www.ina.fr/media/AFE86004143,/Media/AF/AFE86004143.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004143_36,61,63,"Mendès France, Pierre"
http://www.ina.fr/media/AFE86004090,/Media/AF/AFE86004090.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004090_42,49,52,"Mendès France, Pierre"
http://www.ina.fr/media/AFE86003438,/Media/AF/AFE86003438.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003438_3,5,8,"Mendès France, Pierre"
http://www.ina.fr/media/AFE86004147,/Media/AF/AFE86004147.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004147_224,492,496,"Mendès France, Pierre"
http://www.ina.fr/media/AFE86003438,/Media/AF/AFE86003438.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003438_47,55,58,"Mendès France, Pierre"
http://www.ina.fr/media/AFE86003429,/Media/AF/AFE86003429.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003429_5,6,12,"Mendès France, Pierre"
http://www.ina.fr/media/AFE86003419,/Media/AF/AFE86003419.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003419_306,497,498,"Mendès France, Pierre"
http://www.ina.fr/media/AFE86003424,/Media/AF/AFE86003424.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003424_117,246,248,"Mendès France, Pierre"
http://www.ina.fr/media/AFE86003442,/Media/AF/AFE86003442.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003442_106,289,291,"Mendès France, Pierre"
http://www.ina.fr/media/AFE86003421,/Media/AF/AFE86003421.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003421_10,33,35,"Mendès France, Pierre"
http://www.ina.fr/media/AFE86003424,/Media/AF/AFE86003424.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003424_113,242,246,"Mendès France, Pierre"
http://www.ina.fr/media/AFE86003556,/Media/AF/AFE86003556.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003556_55,136,137,"Mollet, Guy"
http://www.ina.fr/media/AFE86003850,/Media/AF/AFE86003850.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003850_29,66,68,"Mollet, Guy"
http://www.ina.fr/media/AFE86003542,/Media/AF/AFE86003542.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003542_266,603,613,"Mollet, Guy"
http://www.ina.fr/media/AFE86003533,/Media/AF/AFE86003533.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003533_246,471,485,"Mollet, Guy"
http://www.ina.fr/media/AFE86003429,/Media/AF/AFE86003429.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003429_11,21,23,"Mollet, Guy"
http://www.ina.fr/media/AFE86003538,/Media/AF/AFE86003538.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003538_26,50,56,"Mollet, Guy"
http://www.ina.fr/media/AFE86003518,/Media/AF/AFE86003518.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003518_207,336,338,"Mollet, Guy"
http://www.ina.fr/media/AFE86003538,/Media/AF/AFE86003538.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003538_10,17,25,"Mollet, Guy"
http://www.ina.fr/media/AFE86004814,/Media/AF/AFE86004814.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004814_83,109,112,"Mollet, Guy"
http://www.ina.fr/media/AFE86003533,/Media/AF/AFE86003533.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003533_245,438,471,"Mollet, Guy"
http://www.ina.fr/media/AFE86003532,/Media/AF/AFE86003532.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003532_151,284,306,"Mollet, Guy"
http://www.ina.fr/media/AFE86003542,/Media/AF/AFE86003542.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003542_265,585,603,"Mollet, Guy"
http://www.ina.fr/media/AFE86003542,/Media/AF/AFE86003542.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003542_267,613,631,"Mollet, Guy"
http://www.ina.fr/media/AFE86004846,/Media/AF/AFE86004846.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004846_291,408,411,"Bidault, Georges"
http://www.ina.fr/media/AFE86004624,/Media/AF/AFE86004624.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004624_59,106,108,"Bidault, Georges"
http://www.ina.fr/media/AFE86004567,/Media/AF/AFE86004567.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004567_174,282,284,"Bidault, Georges"
http://www.ina.fr/media/AFE86004699,/Media/AF/AFE86004699.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004699_161,285,286,"Bidault, Georges"
http://www.ina.fr/media/AFE86004419,/Media/AF/AFE86004419.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004419_481,746,753,"Bidault, Georges"
http://www.ina.fr/media/AFE86004489,/Media/AF/AFE86004489.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004489_72,154,162,"Bidault, Georges"
http://www.ina.fr/media/AFE86004838,/Media/AF/AFE86004838.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004838_158,321,325,"Bidault, Georges"
http://www.ina.fr/media/AFE86004588,/Media/AF/AFE86004588.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004588_175,295,300,"Bidault, Georges"
http://www.ina.fr/media/AFE86004664,/Media/AF/AFE86004664.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004664_199,248,250,"Bidault, Georges"
http://www.ina.fr/media/AFE86004542,/Media/AF/AFE86004542.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004542_283,238,240,"Bidault, Georges"
http://www.ina.fr/media/AFE86004734,/Media/AF/AFE86004734.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004734_151,216,220,"Bidault, Georges"
http://www.ina.fr/media/AFE86004527,/Media/AF/AFE86004527.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004527_150,310,312,"Bidault, Georges"
http://www.ina.fr/media/AFE86004861,/Media/AF/AFE86004861.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004861_30,87,89,"Bidault, Georges"
http://www.ina.fr/media/AFE86003622,/Media/AF/AFE86003622.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003622_435,627,628,"Bidault, Georges"
http://www.ina.fr/media/AFE86003964,/Media/AF/AFE86003964.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003964_84,308,311,"Gaulle, Charles de"
http://www.ina.fr/media/AFE86003969,/Media/AF/AFE86003969.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003969_9,25,29,"Gaulle, Charles de"
http://www.ina.fr/media/AFE86003754,/Media/AF/AFE86003754.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003754_133,305,307,"Gaulle, Charles de"
http://www.ina.fr/media/AFE86003677,/Media/AF/AFE86003677.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003677_11,39,63,"Gaulle, Charles de"
http://www.ina.fr/media/AFE86003729,/Media/AF/AFE86003729.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003729_3,34,35,"Gaulle, Charles de"
http://www.ina.fr/media/AFE86003920,/Media/AF/AFE86003920.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003920_16,45,47,"Gaulle, Charles de"
http://www.ina.fr/media/AFE86004129,/Media/AF/AFE86004129.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004129_28,65,67,"Gaulle, Charles de"
http://www.ina.fr/media/AFE86003966,/Media/AF/AFE86003966.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003966_42,100,102,"Gaulle, Charles de"
http://www.ina.fr/media/AFE86003837,/Media/AF/AFE86003837.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003837_105,194,196,"Gaulle, Charles de"
http://www.ina.fr/media/AFE86004158,/Media/AF/AFE86004158.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004158_11,73,126,"Gaulle, Charles de"
http://www.ina.fr/media/AFE86004018,/Media/AF/AFE86004018.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004018_20,83,117,"Gaulle, Charles de"
http://www.ina.fr/media/AFE86004419,/Media/AF/AFE86004419.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004419_481,746,753,"Gaulle, Charles de"
http://www.ina.fr/media/AFE86003888,/Media/AF/AFE86003888.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003888_14,82,91,"Gaulle, Charles de"
http://www.ina.fr/media/AFE86003966,/Media/AF/AFE86003966.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003966_45,107,110,"Gaulle, Charles de"
http://www.ina.fr/media/AFE86003763,/Media/AF/AFE86003763.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003763_9,47,52,"Gaulle, Charles de"
http://www.ina.fr/media/AFE86003841,/Media/AF/AFE86003841.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003841_133,394,399,"Gaulle, Charles de"
http://www.ina.fr/media/AFE86003622,/Media/AF/AFE86003622.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003622_435,627,628,"Gaulle, Charles de"
http://www.ina.fr/media/AFE86004018,/Media/AF/AFE86004018.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004018_19,80,83,"Gaulle, Charles de"
http://www.ina.fr/media/AFE86003847,/Media/AF/AFE86003847.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003847_3,19,32,"Gaulle, Charles de"
http://www.ina.fr/media/AFE86003716,/Media/AF/AFE86003716.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003716_304,567,571,"Khrouchtchev, Nikita"
http://www.ina.fr/media/AFE86003717,/Media/AF/AFE86003717.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003717_111,233,237,"Khrouchtchev, Nikita"
http://www.ina.fr/media/AFE86003483,/Media/AF/AFE86003483.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003483_76,210,214,"Khrouchtchev, Nikita"
http://www.ina.fr/media/AFE86003704,/Media/AF/AFE86003704.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003704_341,484,488,"Khrouchtchev, Nikita"
http://www.ina.fr/media/AFE86003691,/Media/AF/AFE86003691.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003691_145,216,218,"Khrouchtchev, Nikita"
http://www.ina.fr/media/AFE86003550,/Media/AF/AFE86003550.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003550_16,24,25,"Khrouchtchev, Nikita"
http://www.ina.fr/media/AFE86003704,/Media/AF/AFE86003704.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003704_343,489,490,"Khrouchtchev, Nikita"
http://www.ina.fr/media/AFE86003550,/Media/AF/AFE86003550.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003550_14,22,24,"Khrouchtchev, Nikita"
http://www.ina.fr/media/AFE86003716,/Media/AF/AFE86003716.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003716_288,549,550,"Khrouchtchev, Nikita"
http://www.ina.fr/media/AFE86003916,/Media/AF/AFE86003916.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003916_150,239,240,"Khrouchtchev, Nikita"
http://www.ina.fr/media/AFE86003662,/Media/AF/AFE86003662.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003662_109,185,186,"Khrouchtchev, Nikita"
http://www.ina.fr/media/AFE86003879,/Media/AF/AFE86003879.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003879_99,288,290,"Khrouchtchev, Nikita"
http://www.ina.fr/media/AFE86003716,/Media/AF/AFE86003716.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003716_292,550,551,"Khrouchtchev, Nikita"
http://www.ina.fr/media/AFE86004018,/Media/AF/AFE86004018.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004018_67,162,164,"Auriol, Vincent"
http://www.ina.fr/media/AFE86004737,/Media/AF/AFE86004737.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004737_325,484,487,"Auriol, Vincent"
http://www.ina.fr/media/AFE86004587,/Media/AF/AFE86004587.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004587_122,176,178,"Auriol, Vincent"
http://www.ina.fr/media/AFE86004567,/Media/AF/AFE86004567.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004567_174,282,284,"Auriol, Vincent"
http://www.ina.fr/media/AFE86004018,/Media/AF/AFE86004018.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004018_83,179,181,"Auriol, Vincent"
http://www.ina.fr/media/AFE86004738,/Media/AF/AFE86004738.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004738_195,313,314,"Auriol, Vincent"
http://www.ina.fr/media/AFE86004780,/Media/AF/AFE86004780.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004780_74,93,97,"Auriol, Vincent"
http://www.ina.fr/media/AFE86004725,/Media/AF/AFE86004725.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004725_8,19,21,"Auriol, Vincent"
http://www.ina.fr/media/AFE86004776,/Media/AF/AFE86004776.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004776_60,95,97,"Auriol, Vincent"
http://www.ina.fr/media/AFE86004738,/Media/AF/AFE86004738.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004738_294,459,460,"Auriol, Vincent"
http://www.ina.fr/media/AFE86004869,/Media/AF/AFE86004869.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004869_233,291,294,"Auriol, Vincent"
http://www.ina.fr/media/AFE86004689,/Media/AF/AFE86004689.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004689_185,204,205,"Auriol, Vincent"
http://www.ina.fr/media/AFE86004713,/Media/AF/AFE86004713.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004713_181,181,183,"Auriol, Vincent"
http://www.ina.fr/media/AFE86003598,/Media/AF/AFE86003598.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003598_50,102,105,"Adenauer, Konrad"
http://www.ina.fr/media/AFE86003687,/Media/AF/AFE86003687.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003687_131,372,375,"Adenauer, Konrad"
http://www.ina.fr/media/AFE86004864,/Media/AF/AFE86004864.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004864_30,42,43,"Adenauer, Konrad"
http://www.ina.fr/media/AFE86004086,/Media/AF/AFE86004086.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004086_42,47,51,"Adenauer, Konrad"
http://www.ina.fr/media/AFE86004657,/Media/AF/AFE86004657.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004657_163,307,310,"Adenauer, Konrad"
http://www.ina.fr/media/AFE86003505,/Media/AF/AFE86003505.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003505_126,254,255,"Adenauer, Konrad"
http://www.ina.fr/media/AFE86004086,/Media/AF/AFE86004086.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004086_7,20,21,"Adenauer, Konrad"
http://www.ina.fr/media/AFE86004086,/Media/AF/AFE86004086.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004086_39,42,45,"Adenauer, Konrad"
http://www.ina.fr/media/AFE86003888,/Media/AF/AFE86003888.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003888_14,82,91,"Adenauer, Konrad"
http://www.ina.fr/media/AFE86003687,/Media/AF/AFE86003687.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003687_154,390,391,"Adenauer, Konrad"
http://www.ina.fr/media/AFE86003763,/Media/AF/AFE86003763.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003763_9,47,52,"Adenauer, Konrad"
http://www.ina.fr/media/AFE86003585,/Media/AF/AFE86003585.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003585_60,131,133,"Adenauer, Konrad"
http://www.ina.fr/media/AFE86003598,/Media/AF/AFE86003598.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003598_20,49,53,"Adenauer, Konrad"
http://www.ina.fr/media/AFE86004726,/Media/AF/AFE86004726.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004726_114,247,250,"Eisenhower, Dwight"
http://www.ina.fr/media/AFE86004436,/Media/AF/AFE86004436.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004436_123,77,80,"Eisenhower, Dwight"
http://www.ina.fr/media/AFE86003687,/Media/AF/AFE86003687.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003687_131,372,375,"Eisenhower, Dwight"
http://www.ina.fr/media/AFE86004878,/Media/AF/AFE86004878.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004878_261,356,359,"Eisenhower, Dwight"
http://www.ina.fr/media/AFE86004805,/Media/AF/AFE86004805.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004805_281,309,311,"Eisenhower, Dwight"
http://www.ina.fr/media/AFE86004726,/Media/AF/AFE86004726.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004726_115,248,250,"Eisenhower, Dwight"
http://www.ina.fr/media/AFE86003735,/Media/AF/AFE86003735.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003735_82,131,134,"Eisenhower, Dwight"
http://www.ina.fr/media/AFE86004776,/Media/AF/AFE86004776.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004776_60,95,97,"Eisenhower, Dwight"
http://www.ina.fr/media/AFE86003687,/Media/AF/AFE86003687.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003687_154,390,392,"Eisenhower, Dwight"
http://www.ina.fr/media/AFE86003841,/Media/AF/AFE86003841.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003841_133,394,399,"Eisenhower, Dwight"
http://www.ina.fr/media/AFE86004726,/Media/AF/AFE86004726.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004726_125,269,272,"Eisenhower, Dwight"
http://www.ina.fr/media/AFE86004821,/Media/AF/AFE86004821.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004821_18,27,30,"Eisenhower, Dwight"
http://www.ina.fr/media/AFE86004430,/Media/AF/AFE86004430.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004430_296,426,454,"Eisenhower, Dwight"
http://www.ina.fr/media/AFE86004544,/Media/AF/AFE86004544.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004544_116,255,260,Elizabeth d'Angleterre
http://www.ina.fr/media/AFE86004588,/Media/AF/AFE86004588.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004588_186,327,329,Elizabeth d'Angleterre
http://www.ina.fr/media/AFE86004783,/Media/AF/AFE86004783.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004783_166,333,335,Elizabeth d'Angleterre
http://www.ina.fr/media/AFE86004534,/Media/AF/AFE86004534.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004534_255,450,452,Elizabeth d'Angleterre
http://www.ina.fr/media/AFE86004782,/Media/AF/AFE86004782.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004782_205,301,303,Elizabeth d'Angleterre
http://www.ina.fr/media/AFE86004642,/Media/AF/AFE86004642.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004642_55,90,92,Elizabeth d'Angleterre
http://www.ina.fr/media/AFE86004544,/Media/AF/AFE86004544.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004544_115,250,255,Elizabeth d'Angleterre
http://www.ina.fr/media/AFE86004588,/Media/AF/AFE86004588.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004588_185,323,326,Elizabeth d'Angleterre
http://www.ina.fr/media/AFE86004619,/Media/AF/AFE86004619.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004619_104,228,230,Elizabeth d'Angleterre
http://www.ina.fr/media/AFE86004588,/Media/AF/AFE86004588.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004588_163,266,270,Elizabeth d'Angleterre
http://www.ina.fr/media/AFE86004783,/Media/AF/AFE86004783.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004783_162,298,300,Elizabeth d'Angleterre
http://www.ina.fr/media/AFE86004588,/Media/AF/AFE86004588.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004588_175,295,300,Elizabeth d'Angleterre
http://www.ina.fr/media/AFE86004614,/Media/AF/AFE86004614.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004614_31,68,72,Elizabeth d'Angleterre
http://www.ina.fr/media/AFE86004420,/Media/AF/AFE86004420.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004420_132,258,263,Elizabeth d'Angleterre
http://www.ina.fr/media/AFE86004527,/Media/AF/AFE86004527.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004527_179,360,362,"Molotov, Viatcheslav"
http://www.ina.fr/media/AFE86004419,/Media/AF/AFE86004419.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004419_433,646,648,"Molotov, Viatcheslav"
http://www.ina.fr/media/AFE86004839,/Media/AF/AFE86004839.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004839_209,331,335,"Molotov, Viatcheslav"
http://www.ina.fr/media/AFE86004542,/Media/AF/AFE86004542.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004542_284,240,242,"Molotov, Viatcheslav"
http://www.ina.fr/media/AFE86004528,/Media/AF/AFE86004528.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004528_310,502,504,"Molotov, Viatcheslav"
http://www.ina.fr/media/AFE86004419,/Media/AF/AFE86004419.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004419_481,746,753,"Molotov, Viatcheslav"
http://www.ina.fr/media/AFE86003480,/Media/AF/AFE86003480.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003480_144,351,355,"Molotov, Viatcheslav"
http://www.ina.fr/media/AFE86003516,/Media/AF/AFE86003516.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003516_52,80,84,"Molotov, Viatcheslav"
http://www.ina.fr/media/AFE86003399,/Media/AF/AFE86003399.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003399_75,220,222,"Molotov, Viatcheslav"
http://www.ina.fr/media/AFE86004472,/Media/AF/AFE86004472.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004472_380,661,665,"Molotov, Viatcheslav"
http://www.ina.fr/media/AFE86004838,/Media/AF/AFE86004838.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004838_309,576,578,"Molotov, Viatcheslav"
http://www.ina.fr/media/AFE86003566,/Media/AF/AFE86003566.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003566_49,105,107,"Molotov, Viatcheslav"
http://www.ina.fr/media/AFE86004839,/Media/AF/AFE86004839.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004839_203,314,320,"Molotov, Viatcheslav"
http://www.ina.fr/media/AFE86003964,/Media/AF/AFE86003964.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86003964_84,307,311,"Pompidou, Georges"
http://www.ina.fr/media/AFE86004060,/Media/AF/AFE86004060.mp4,http://www.campus-AAR.fr/sceneSegment_AFE86004060_187,306,309,"Pompidou, Georges"
